time,q2,dq2,ddq2,q2_tau_J_compensate,CV,Dahl,Stribeck,LuGre,SVM,Light_Transformer,PINN,NNFM,,,
3.32073,-0.009816836,0.000449162,-0.00160304,2.559749353,4.084431877,-5.59E-01,4.161754554,-0.4680771,2.363688387,3.742667493,2.77059973,2.154526957,,,
3.33602,-0.009806601,0.000428673,-0.001037658,2.788114285,4.072506196,-5.55E-01,4.141664652,-0.4678857,2.340370201,3.689264582,2.711229344,2.285029162,,,
3.3514,-0.009795967,0.000446894,0.000213152,2.922787676,4.083112246,-5.50E-01,4.159557365,-0.4597655,2.303920918,3.638493431,2.655577127,2.509454373,,,
3.36751,-0.009784869,0.00049939,0.001031732,2.91843861,4.11366903,-5.45E-01,4.208906587,-0.4442608,1.94862588,3.590465403,2.604296937,2.752247328,,,
3.38361,-0.009773353,0.000561772,0.000480857,2.791931675,4.14998038,-5.40E-01,4.263842984,-0.4261533,2.317308218,3.544407996,2.557227635,2.926359911,,,
3.39933,-0.009761536,0.000604625,-0.001226311,2.610206546,4.174924137,-5.34E-01,4.299574723,-0.4115253,2.396163551,3.499143995,2.513575889,2.971326863,,,
3.41499,-0.009749546,0.000612785,-0.002650126,2.446484543,4.179673794,-5.28E-01,4.306211193,-0.4037583,2.575364297,3.453692931,2.472333633,2.878860425,,,
3.43043,-0.009737474,0.000595267,-0.002121241,2.330022765,4.169476849,-5.22E-01,4.291899428,-0.4013053,2.210185962,3.40762255,2.43267869,2.695163291,,,
3.4457,-0.009725366,0.000576953,0.00074844,2.23308334,4.158816405,-5.16E-01,4.276674639,-0.399195,2.377086655,3.36091191,2.394106152,2.487384613,,,
3.46136,-0.009713247,0.000577096,0.004255777,2.111842539,4.158900198,-5.10E-01,4.276795386,-0.3933896,2.382037799,3.313499963,2.356256828,2.302815854,,,
3.47633,-0.009701143,0.000593417,0.005625164,1.962172798,4.168400118,-5.04E-01,4.290374067,-0.3841838,2.545054032,3.265007438,2.318684173,2.150018873,,,
3.49163,-0.00968912,0.000607212,0.003431227,1.833363476,4.176429552,-4.98E-01,4.301683744,-0.3753455,2.18845446,3.21494587,2.280846354,2.149948742,,,
3.50742,-0.009677305,0.000603424,-0.000855472,1.787519593,4.174224779,-4.92E-01,4.298593178,-0.3700636,1.893967932,3.163219631,2.242365329,1.971871223,,,
3.52366,-0.009665862,0.000584103,-0.004063632,1.848562014,4.162978468,-4.86E-01,4.282651427,-0.3680834,2.531776777,3.110434296,2.203319029,1.823704573,,,
3.53887,-0.009654881,0.000563114,-0.0042085,1.991353672,4.150761066,-4.81E-01,4.264984669,-0.3666471,2.079940742,3.057743476,2.164308782,1.757548079,,,
3.55425,-0.009644274,0.000551041,-0.002061158,2.17417118,4.1437337,-4.75E-01,4.25465081,-0.3635475,2.420041065,3.006429603,2.126273944,1.799491761,,,
3.57033,-0.00963376,0.000546804,3.26E-05,2.372531865,4.14126783,-4.70E-01,4.250993921,-0.3589223,2.524002855,2.957610872,2.090243833,1.94061898,,,
3.5852,-0.009622992,0.000542322,0.000505332,2.581266742,4.138658782,-4.64E-01,4.247106953,-0.3543911,2.526001191,2.912225622,2.05720172,2.14941105,,,
3.60074,-0.009611763,0.000533148,-0.000314492,2.796443511,4.133318853,-4.59E-01,4.239093674,-0.3508907,2.470090187,2.87111939,2.028059082,2.391675683,,,
3.61579,-0.009600157,0.000523729,-0.001021869,3.008565449,4.127835952,-4.54E-01,4.230783234,-0.3475337,2.600944356,2.835040575,2.003639455,2.391645943,,,
3.63058,-0.009588506,0.00052257,-0.00067313,3.214098465,4.127161169,-4.48E-01,4.229754571,-0.3425355,2.020247991,2.804576577,1.984637656,2.709391582,,,
3.64579,-0.009577131,0.000533167,0.000518104,3.423950352,4.13332988,-4.43E-01,4.239110303,-0.3350787,2.5617193,2.780179561,1.971613273,2.709333946,,,
